iteration,red_power,blue_power,cofm_ratio,win_side
0,9.450322,7.5864844,1.25,RED
1,11.107721,6.9612236,1.6,RED
2,6.8888144,5.390117,1.28,RED
3,8.83393,7.8844795,1.12,RED
4,12.599726,5.7607183,2.19,RED
5,7.828441,6.6322794,1.18,RED
6,9.445407,8.335832,1.13,RED
7,11.013691,5.131942,2.15,RED
8,9.801474,7.4108186,1.32,RED
9,9.165158,8.491649,1.08,BLUE
10,9.533572,4.6079936,2.07,RED
11,7.958391,5.6986585,1.4,RED
12,9.924498,8.0159025,1.24,RED
13,6.7791157,7.42707,0.91,BLUE
14,7.6337857,7.333631,1.04,BLUE
15,11.9165745,7.501526,1.59,RED
16,9.25082,7.608654,1.22,RED
17,12.717254,5.780344,2.2,RED
18,11.321073,6.066697,1.87,RED
19,10.24955,6.981974,1.47,RED
20,10.746378,6.6392555,1.62,RED
21,10.430148,5.609226,1.86,RED
22,10.96401,9.10485,1.2,RED
23,7.51288,4.9884157,1.51,RED
24,12.655801,5.0458293,2.51,RED
25,9.725989,6.381126,1.52,RED
26,10.408569,6.2520857,1.66,RED
27,10.445517,6.7556343,1.55,RED
28,6.670514,6.0968623,1.09,BLUE
29,9.007187,7.729675,1.17,RED
30,6.8500533,4.634141,1.48,RED
31,7.35918,5.225034,1.41,RED
32,8.980132,7.354666,1.22,RED
33,11.418298,5.873667,1.94,RED
34,12.017343,6.394961,1.88,RED
35,6.995515,6.2769995,1.11,RED
36,9.088928,6.6412864,1.37,RED
37,11.461051,8.311034,1.38,RED
38,12.664102,7.0748525,1.79,RED
39,11.448888,7.832762,1.46,RED
40,8.432391,7.5381613,1.12,RED
41,10.654089,8.010276,1.33,RED
42,7.4823403,8.9228325,0.84,BLUE
43,7.5082436,5.1457524,1.46,RED
44,10.456697,4.688365,2.23,RED
45,9.049116,7.1731396,1.26,RED
46,8.558398,7.718942,1.11,RED
47,8.425469,4.9749155,1.69,RED
48,8.587985,4.728998,1.82,RED
49,12.24713,7.4410005,1.65,RED
50,6.855589,6.0509486,1.13,RED
51,7.5940156,5.614504,1.35,RED
52,11.624901,7.0860915,1.64,RED
53,11.145839,8.148492,1.37,RED
54,11.188409,6.4113703,1.75,RED
55,10.039565,6.4743958,1.55,RED
56,10.940448,8.999501,1.22,RED
57,10.313557,5.7589846,1.79,RED
58,8.519932,5.432353,1.57,RED
59,7.9055476,5.1428523,1.54,RED
60,11.239271,5.746029,1.96,RED
61,10.740227,6.397216,1.68,RED
62,8.144902,6.3438096,1.28,RED
63,11.072418,7.215921,1.53,RED
64,11.491967,4.528404,2.54,RED
65,10.77234,7.48262,1.44,RED
66,10.418323,7.622393,1.37,RED
67,11.217015,8.444638,1.33,RED
68,7.7232437,5.296838,1.46,RED
69,10.30145,6.6338534,1.55,RED
70,6.932036,7.877972,0.88,BLUE
71,10.140115,8.360788,1.21,RED
72,8.823183,7.4066086,1.19,RED
73,6.7594566,7.9049954,0.86,BLUE
74,9.889166,7.689144,1.29,RED
75,11.404695,8.575864,1.33,RED
76,7.0104423,5.354052,1.31,RED
77,10.157937,6.853583,1.48,RED
78,13.487663,5.160673,2.61,RED
79,10.893055,4.617197,2.36,RED
80,10.93142,6.93927,1.58,RED
81,7.21268,8.92829,0.81,BLUE
82,9.573555,6.3553777,1.51,RED
83,6.970713,7.643931,0.91,BLUE
84,12.427534,5.210879,2.38,RED
85,12.043568,7.0125074,1.72,RED
86,12.186225,6.0125437,2.03,RED
87,12.570622,4.751776,2.65,RED
88,7.046977,5.491405,1.28,RED
89,11.592068,7.9642706,1.46,RED
90,7.2312455,7.3248367,0.99,BLUE
91,9.514486,8.148575,1.17,RED
92,10.658733,8.040429,1.33,RED
93,8.669397,6.489973,1.34,RED
94,9.349499,4.765979,1.96,RED
95,6.327017,8.828076,0.72,BLUE
96,9.0796995,7.5130887,1.21,RED
97,7.883851,9.06545,0.87,BLUE
98,9.304514,6.143055,1.51,RED
99,6.851819,8.671878,0.79,BLUE
100,7.632461,5.716152,1.34,RED
101,7.9956923,6.79597,1.18,RED
102,9.463753,7.274943,1.3,RED
103,8.0255995,4.846625,1.66,RED
104,11.318419,5.953385,1.9,RED
105,9.104272,5.006726,1.82,RED
106,10.281488,7.1482415,1.44,RED
107,9.122977,6.737812,1.35,RED
108,12.489975,7.1500506,1.75,RED
109,9.624814,5.9253144,1.62,RED
110,7.2392025,5.7667227,1.26,RED
111,11.146659,7.8792562,1.41,RED
112,8.49669,8.36566,1.02,BLUE
113,11.815839,7.446315,1.59,RED
114,10.098084,7.140258,1.41,RED
115,10.154804,8.091183,1.26,RED
116,10.298701,6.7058544,1.54,RED
117,7.0701604,5.1394305,1.38,RED
118,6.603479,7.267138,0.91,BLUE
119,7.330548,5.676827,1.29,RED
120,10.565804,4.8277254,2.19,RED
121,8.515037,6.07294,1.4,RED
122,11.290914,6.7436013,1.67,RED
123,10.626385,5.819158,1.83,RED
124,8.01574,9.297128,0.86,BLUE
